last_name,first_name,dob,gender,nationality,stance,fis_num
Horvat,Luka,2011-07-07,Male,HRV,,
Olsen,Ingrid,1988-01-03,Female,NOR,Goofy,5392081
Costa,Gabriel,2007-05-26,Male,PRT,Regular,1098765
Singh,Priya,2016-02-18,Female,IND,,
Davis,Mason,1996-09-11,Male,USA,,6218734
Rodriguez,Valentina,2001-04-09,Female,ARG,Regular,4820195
Weber,Paul,2013-10-01,Male,DEU,Goofy,
Pichler,Anna,1994-06-24,Female,AUT,,3175928
Wang,Hao,1986-12-07,Male,CHN,Regular,8520369
Tailor,Emily,2003-02-14,Female,GBR,,1470258
Gustafsson,Oskar,2010-08-08,Male,SWE,Goofy,
Keller,Lara,1998-11-23,Female,CHE,Regular,9630852
Campbell,Jack,2005-03-17,Male,NZL,,2580147
Smirnov,Sofia,2015-01-30,Female,RUS,,
Tanaka,Haruto,1991-07-12,Male,JPN,Goofy,7019283
Schmidt,Marie,2002-10-04,Female,DEU,,5931784
Miller,Benjamin,2012-05-21,Male,USA,,6804219
Gagnon,Florence,1997-09-09,Female,CAN,Regular,3028751
Romano,Alessia,2017-11-06,Female,ITA,Goofy,
Choi,Min-jun,1993-02-02,Male,KOR,,8194730
Leroy,Hugo,2006-06-28,Male,FRA,Regular,4371958
Kovacic,Nika,1990-04-13,Female,SVN,Goofy,6713049
Hansen,Sofie,2004-01-19,Female,DNK,,2085617
Pereira,Lucas,1988-08-27,Male,BRA,,5169284
Kumar,Ishaan,2014-04-04,Male,IND,Regular,
Moore,Chloe,2000-10-31,Female,USA,,9431075
Martinez,Lucia,1995-12-15,Female,ESP,Goofy,1785302
Bauer,Tobias,2008-03-03,Male,AUT,Regular,7950164
Ryan,Howie,2008-02-21,Male,AUT,Regular,1313133
Andersson,Elin,2009-11-18,Female,SWE,,
Dupont,Louis,1992-07-25,Male,FRA,Goofy,2345678
Kim,Ji-soo,2019-05-10,Female,KOR,,
Silva,Pedro,1985-03-01,Male,BRA,Regular,9012345
Novotna,Tereza,2003-09-22,Female,CZE,,6789012
Khan,Omar,2011-01-05,Male,PAK,Goofy,3456789
Reyes,Isabella,1999-06-14,Female,COL,Regular,0123456
Sato,Kenji,2016-12-29,Male,JPN,,7890123
Ivanova,Daria,1987-08-02,Female,RUS,Goofy,4567890
Patel,Ravi,2005-04-28,Male,CAN,Regular,1234567
